Angle,Radius,Value
3.75,0.05,3.39E-04
3.75,0.1,2.46E-04
3.75,0.15,1.96E-04
3.75,0.2,1.62E-04
3.75,0.3,2.53E-04
3.75,0.4,1.90E-04
3.75,0.5,1.48E-04
3.75,0.6,1.17E-04
3.75,0.8,1.70E-04
3.75,1,1.13E-04
3.75,1.5,1.43E-04
3.75,2,5.17E-05
3.75,3,4.46E-05
3.75,4,3.99E-05
3.75,5,3.99E-05
3.75,6,3.88E-05
3.75,8,7.63E-05
3.75,10,7.28E-05
3.75,15,1.71E-04
3.75,20,1.51E-04
3.75,30,2.51E-04
3.75,40,1.89E-04
3.75,50,1.40E-04
3.75,60,9.63E-05
7.5,0.05,8.24E-04
7.5,0.1,6.41E-04
7.5,0.15,5.24E-04
7.5,0.2,4.40E-04
7.5,0.3,7.00E-04
7.5,0.4,5.33E-04
7.5,0.5,4.17E-04
7.5,0.6,3.33E-04
7.5,0.8,4.88E-04
7.5,1,3.24E-04
7.5,1.5,4.10E-04
7.5,2,1.49E-04
7.5,3,1.23E-04
7.5,4,1.10E-04
7.5,5,1.09E-04
7.5,6,1.08E-04
7.5,8,2.10E-04
7.5,10,2.01E-04
7.5,15,4.71E-04
7.5,20,4.23E-04
7.5,30,7.03E-04
7.5,40,5.33E-04
7.5,50,3.92E-04
7.5,60,2.70E-04
11.25,0.05,1.06E-03
11.25,0.1,8.63E-04
11.25,0.15,7.23E-04
11.25,0.2,6.18E-04
11.25,0.3,1.01E-03
11.25,0.4,7.83E-04
11.25,0.5,6.23E-04
11.25,0.6,5.03E-04
11.25,0.8,7.44E-04
11.25,1,4.99E-04
11.25,1.5,6.36E-04
11.25,2,2.30E-04
11.25,3,1.90E-04
11.25,4,1.68E-04
11.25,5,1.66E-04
11.25,6,1.64E-04
11.25,8,3.18E-04
11.25,10,3.07E-04
11.25,15,7.16E-04
11.25,20,6.43E-04
11.25,30,1.07E-03
11.25,40,8.09E-04
11.25,50,5.93E-04
11.25,60,4.03E-04
15,0.05,1.16E-03
15,0.1,9.57E-04
15,0.15,8.13E-04
15,0.2,7.05E-04
15,0.3,1.17E-03
15,0.4,9.29E-04
15,0.5,7.50E-04
15,0.6,6.14E-04
15,0.8,9.20E-04
15,1,6.24E-04
15,1.5,8.03E-04
15,2,2.89E-04
15,3,2.38E-04
15,4,2.10E-04
15,5,2.06E-04
15,6,2.03E-04
15,8,3.95E-04
15,10,3.80E-04
15,15,8.89E-04
15,20,7.97E-04
15,30,1.33E-03
15,40,1.00E-03
15,50,7.29E-04
15,60,4.91E-04
18.75,0.05,1.19E-03
18.75,0.1,9.81E-04
18.75,0.15,8.35E-04
18.75,0.2,7.29E-04
18.75,0.3,1.22E-03
18.75,0.4,9.86E-04
18.75,0.5,8.07E-04
18.75,0.6,6.67E-04
18.75,0.8,1.01E-03
18.75,1,6.93E-04
18.75,1.5,9.05E-04
18.75,2,3.25E-04
18.75,3,2.68E-04
18.75,4,2.35E-04
18.75,5,2.30E-04
18.75,6,2.26E-04
18.75,8,4.41E-04
18.75,10,4.25E-04
18.75,15,9.94E-04
18.75,20,8.93E-04
18.75,30,1.49E-03
18.75,40,1.12E-03
18.75,50,8.07E-04
18.75,60,5.35E-04
22.5,0.05,1.19E-03
22.5,0.1,9.63E-04
22.5,0.15,8.18E-04
22.5,0.2,7.15E-04
22.5,0.3,1.20E-03
22.5,0.4,9.81E-04
22.5,0.5,8.11E-04
22.5,0.6,6.76E-04
22.5,0.8,1.03E-03
22.5,1,7.17E-04
22.5,1.5,9.39E-04
22.5,2,3.39E-04
22.5,3,2.82E-04
22.5,4,2.46E-04
22.5,5,2.41E-04
22.5,6,2.37E-04
22.5,8,4.62E-04
22.5,10,4.46E-04
22.5,15,1.05E-03
22.5,20,9.45E-04
22.5,30,1.57E-03
22.5,40,1.18E-03
22.5,50,8.42E-04
22.5,60,5.49E-04
26.25,0.05,1.17E-03
26.25,0.1,9.22E-04
26.25,0.15,7.77E-04
26.25,0.2,6.78E-04
26.25,0.3,1.14E-03
26.25,0.4,9.36E-04
26.25,0.5,7.79E-04
26.25,0.6,6.52E-04
26.25,0.8,1.00E-03
26.25,1,7.00E-04
26.25,1.5,9.19E-04
26.25,2,3.33E-04
26.25,3,2.82E-04
26.25,4,2.48E-04
26.25,5,2.42E-04
26.25,6,2.38E-04
26.25,8,4.66E-04
26.25,10,4.50E-04
26.25,15,1.06E-03
26.25,20,9.62E-04
26.25,30,1.60E-03
26.25,40,1.20E-03
26.25,50,8.46E-04
26.25,60,5.42E-04
30,0.05,1.14E-03
30,0.1,8.67E-04
30,0.15,7.25E-04
30,0.2,6.31E-04
30,0.3,1.06E-03
30,0.4,8.71E-04
30,0.5,7.25E-04
30,0.6,6.07E-04
30,0.8,9.39E-04
30,1,6.57E-04
30,1.5,8.60E-04
30,2,3.11E-04
30,3,2.72E-04
30,4,2.42E-04
30,5,2.37E-04
30,6,2.33E-04
30,8,4.56E-04
30,10,4.45E-04
30,15,1.05E-03
30,20,9.56E-04
30,30,1.60E-03
30,40,1.19E-03
30,50,8.29E-04
30,60,5.20E-04
33.75,0.05,1.10E-03
33.75,0.1,8.04E-04
33.75,0.15,6.67E-04
33.75,0.2,5.77E-04
33.75,0.3,9.71E-04
33.75,0.4,7.93E-04
33.75,0.5,6.59E-04
33.75,0.6,5.53E-04
33.75,0.8,8.51E-04
33.75,1,5.94E-04
33.75,1.5,7.76E-04
33.75,2,2.81E-04
33.75,3,2.56E-04
33.75,4,2.31E-04
33.75,5,2.27E-04
33.75,6,2.24E-04
33.75,8,4.41E-04
33.75,10,4.31E-04
33.75,15,1.03E-03
33.75,20,9.37E-04
33.75,30,1.57E-03
33.75,40,1.16E-03
33.75,50,8.00E-04
33.75,60,4.92E-04
37.5,0.05,1.05E-03
37.5,0.1,7.37E-04
37.5,0.15,6.05E-04
37.5,0.2,5.22E-04
37.5,0.3,8.74E-04
37.5,0.4,7.10E-04
37.5,0.5,5.87E-04
37.5,0.6,4.91E-04
37.5,0.8,7.52E-04
37.5,1,5.22E-04
37.5,1.5,6.79E-04
37.5,2,2.47E-04
37.5,3,2.38E-04
37.5,4,2.17E-04
37.5,5,2.16E-04
37.5,6,2.13E-04
37.5,8,4.22E-04
37.5,10,4.14E-04
37.5,15,9.92E-04
37.5,20,9.10E-04
37.5,30,1.52E-03
37.5,40,1.12E-03
37.5,50,7.63E-04
37.5,60,4.60E-04
41.25,0.05,9.96E-04
41.25,0.1,6.69E-04
41.25,0.15,5.45E-04
41.25,0.2,4.67E-04
41.25,0.3,7.76E-04
41.25,0.4,6.26E-04
41.25,0.5,5.15E-04
41.25,0.6,4.29E-04
41.25,0.8,6.52E-04
41.25,1,4.48E-04
41.25,1.5,5.76E-04
41.25,2,2.12E-04
41.25,3,2.19E-04
41.25,4,2.04E-04
41.25,5,2.03E-04
41.25,6,2.02E-04
41.25,8,4.01E-04
41.25,10,3.96E-04
41.25,15,9.51E-04
41.25,20,8.77E-04
41.25,30,1.47E-03
41.25,40,1.07E-03
41.25,50,7.22E-04
41.25,60,4.27E-04
45,0.05,9.31E-04
45,0.1,6.01E-04
45,0.15,4.86E-04
45,0.2,4.14E-04
45,0.3,6.83E-04
45,0.4,5.46E-04
45,0.5,4.47E-04
45,0.6,3.68E-04
45,0.8,5.57E-04
45,1,3.77E-04
45,1.5,4.79E-04
45,2,1.80E-04
45,3,2.01E-04
45,4,1.90E-04
45,5,1.91E-04
45,6,1.90E-04
45,8,3.79E-04
45,10,3.75E-04
45,15,9.10E-04
45,20,8.41E-04
45,30,1.41E-03
45,40,1.02E-03
45,50,6.79E-04
45,60,3.93E-04
48.75,0.05,8.60E-04
48.75,0.1,5.36E-04
48.75,0.15,4.30E-04
48.75,0.2,3.64E-04
48.75,0.3,5.95E-04
48.75,0.4,4.71E-04
48.75,0.5,3.81E-04
48.75,0.6,3.12E-04
48.75,0.8,4.66E-04
48.75,1,3.12E-04
48.75,1.5,3.89E-04
48.75,2,1.51E-04
48.75,3,1.84E-04
48.75,4,1.78E-04
48.75,5,1.78E-04
48.75,6,1.78E-04
48.75,8,3.57E-04
48.75,10,3.56E-04
48.75,15,8.66E-04
48.75,20,8.05E-04
48.75,30,1.35E-03
48.75,40,9.66E-04
48.75,50,6.37E-04
48.75,60,3.62E-04
52.5,0.05,7.87E-04
52.5,0.1,4.75E-04
52.5,0.15,3.77E-04
52.5,0.2,3.17E-04
52.5,0.3,5.13E-04
52.5,0.4,4.01E-04
52.5,0.5,3.22E-04
52.5,0.6,2.60E-04
52.5,0.8,3.85E-04
52.5,1,2.55E-04
52.5,1.5,3.15E-04
52.5,2,1.27E-04
52.5,3,1.69E-04
52.5,4,1.65E-04
52.5,5,1.66E-04
52.5,6,1.67E-04
52.5,8,3.35E-04
52.5,10,3.36E-04
52.5,15,8.24E-04
52.5,20,7.70E-04
52.5,30,1.29E-03
52.5,40,9.15E-04
52.5,50,5.96E-04
52.5,60,3.32E-04
56.25,0.05,7.12E-04
56.25,0.1,4.17E-04
56.25,0.15,3.28E-04
56.25,0.2,2.74E-04
56.25,0.3,4.39E-04
56.25,0.4,3.38E-04
56.25,0.5,2.69E-04
56.25,0.6,2.15E-04
56.25,0.8,3.14E-04
56.25,1,2.04E-04
56.25,1.5,2.52E-04
56.25,2,1.08E-04
56.25,3,1.55E-04
56.25,4,1.54E-04
56.25,5,1.56E-04
56.25,6,1.57E-04
56.25,8,3.16E-04
56.25,10,3.18E-04
56.25,15,7.84E-04
56.25,20,7.35E-04
56.25,30,1.23E-03
56.25,40,8.66E-04
56.25,50,5.56E-04
56.25,60,3.04E-04
60,0.05,6.38E-04
60,0.1,3.64E-04
60,0.15,2.84E-04
60,0.2,2.35E-04
60,0.3,3.72E-04
60,0.4,2.83E-04
60,0.5,2.22E-04
60,0.6,1.76E-04
60,0.8,2.53E-04
60,1,1.62E-04
60,1.5,2.01E-04
60,2,9.25E-05
60,3,1.43E-04
60,4,1.43E-04
60,5,1.45E-04
60,6,1.47E-04
60,8,2.98E-04
60,10,3.01E-04
60,15,7.46E-04
60,20,7.02E-04
60,30,1.17E-03
60,40,8.17E-04
60,50,5.18E-04
60,60,2.78E-04
63.75,0.05,5.66E-04
63.75,0.1,3.16E-04
63.75,0.15,2.43E-04
63.75,0.2,1.99E-04
63.75,0.3,3.12E-04
63.75,0.4,2.34E-04
63.75,0.5,1.81E-04
63.75,0.6,1.43E-04
63.75,0.8,2.03E-04
63.75,1,1.28E-04
63.75,1.5,1.60E-04
63.75,2,8.00E-05
63.75,3,1.33E-04
63.75,4,1.34E-04
63.75,5,1.36E-04
63.75,6,1.38E-04
63.75,8,2.81E-04
63.75,10,2.85E-04
63.75,15,7.11E-04
63.75,20,6.70E-04
63.75,30,1.11E-03
63.75,40,7.71E-04
63.75,50,4.82E-04
63.75,60,2.54E-04
67.5,0.05,4.97E-04
67.5,0.1,2.72E-04
67.5,0.15,2.07E-04
67.5,0.2,1.68E-04
67.5,0.3,2.59E-04
67.5,0.4,1.92E-04
67.5,0.5,1.46E-04
67.5,0.6,1.14E-04
67.5,0.8,1.59E-04
67.5,1,1.01E-04
67.5,1.5,1.29E-04
67.5,2,7.00E-05
67.5,3,1.23E-04
67.5,4,1.24E-04
67.5,5,1.27E-04
67.5,6,1.29E-04
67.5,8,2.65E-04
67.5,10,2.70E-04
67.5,15,6.77E-04
67.5,20,6.40E-04
67.5,30,1.06E-03
67.5,40,7.28E-04
67.5,50,4.48E-04
67.5,60,2.32E-04
71.25,0.05,4.33E-04
71.25,0.1,2.32E-04
71.25,0.15,1.75E-04
71.25,0.2,1.40E-04
71.25,0.3,2.15E-04
71.25,0.4,1.56E-04
71.25,0.5,1.18E-04
71.25,0.6,9.07E-05
71.25,0.8,1.26E-04
71.25,1,7.90E-05
71.25,1.5,1.05E-04
71.25,2,6.24E-05
71.25,3,1.14E-04
71.25,4,1.16E-04
71.25,5,1.19E-04
71.25,6,1.22E-04
71.25,8,2.51E-04
71.25,10,2.57E-04
71.25,15,6.45E-04
71.25,20,6.10E-04
71.25,30,1.01E-03
71.25,40,6.86E-04
71.25,50,4.17E-04
71.25,60,2.13E-04
75,0.05,3.76E-04
75,0.1,1.97E-04
75,0.15,1.47E-04
75,0.2,1.17E-04
75,0.3,1.76E-04
75,0.4,1.26E-04
75,0.5,9.45E-05
75,0.6,7.20E-05
75,0.8,9.97E-05
75,1,6.24E-05
75,1.5,8.63E-05
75,2,5.63E-05
75,3,1.06E-04
75,4,1.09E-04
75,5,1.12E-04
75,6,1.15E-04
75,8,2.38E-04
75,10,2.44E-04
75,15,6.15E-04
75,20,5.83E-04
75,30,9.58E-04
75,40,6.46E-04
75,50,3.88E-04
75,60,1.94E-04
78.75,0.05,3.26E-04
78.75,0.1,1.67E-04
78.75,0.15,1.22E-04
78.75,0.2,9.62E-05
78.75,0.3,1.43E-04
78.75,0.4,1.01E-04
78.75,0.5,7.50E-05
78.75,0.6,5.67E-05
78.75,0.8,7.86E-05
78.75,1,5.00E-05
78.75,1.5,7.26E-05
78.75,2,5.16E-05
78.75,3,9.95E-05
78.75,4,1.02E-04
78.75,5,1.06E-04
78.75,6,1.09E-04
78.75,8,2.26E-04
78.75,10,2.32E-04
78.75,15,5.86E-04
78.75,20,5.56E-04
78.75,30,9.11E-04
78.75,40,6.08E-04
78.75,50,3.61E-04
78.75,60,1.78E-04
82.5,0.05,2.81E-04
82.5,0.1,1.40E-04
82.5,0.15,1.01E-04
82.5,0.2,7.85E-05
82.5,0.3,1.16E-04
82.5,0.4,8.13E-05
82.5,0.5,5.93E-05
82.5,0.6,4.49E-05
82.5,0.8,6.22E-05
82.5,1,4.02E-05
82.5,1.5,6.21E-05
82.5,2,4.73E-05
82.5,3,9.29E-05
82.5,4,9.62E-05
82.5,5,9.98E-05
82.5,6,1.03E-04
82.5,8,2.14E-04
82.5,10,2.21E-04
82.5,15,5.60E-04
82.5,20,5.31E-04
82.5,30,8.67E-04
82.5,40,5.73E-04
82.5,50,3.35E-04
82.5,60,1.62E-04
86.25,0.05,2.36E-04
86.25,0.1,1.17E-04
86.25,0.15,8.33E-05
86.25,0.2,6.42E-05
86.25,0.3,9.33E-05
86.25,0.4,6.47E-05
86.25,0.5,4.73E-05
86.25,0.6,3.58E-05
86.25,0.8,4.96E-05
86.25,1,3.28E-05
86.25,1.5,5.38E-05
86.25,2,4.36E-05
86.25,3,8.72E-05
86.25,4,9.11E-05
86.25,5,9.44E-05
86.25,6,9.77E-05
86.25,8,2.04E-04
86.25,10,2.11E-04
86.25,15,5.34E-04
86.25,20,5.07E-04
86.25,30,8.23E-04
86.25,40,5.39E-04
86.25,50,3.11E-04
86.25,60,1.49E-04
90,0.05,1.96E-04
90,0.1,9.68E-05
90,0.15,6.84E-05
90,0.2,5.23E-05
90,0.3,7.50E-05
90,0.4,5.16E-05
90,0.5,3.77E-05
90,0.6,2.84E-05
90,0.8,3.99E-05
90,1,2.75E-05
90,1.5,4.73E-05
90,2,4.07E-05
90,3,8.18E-05
90,4,8.56E-05
90,5,8.90E-05
90,6,9.25E-05
90,8,1.93E-04
90,10,2.01E-04
90,15,5.10E-04
90,20,4.83E-04
90,30,7.82E-04
90,40,5.07E-04
90,50,2.89E-04
90,60,1.36E-04
93.75,0.05,1.65E-04
93.75,0.1,7.99E-05
93.75,0.15,5.56E-05
93.75,0.2,4.22E-05
93.75,0.3,6.03E-05
93.75,0.4,4.13E-05
93.75,0.5,3.00E-05
93.75,0.6,2.28E-05
93.75,0.8,3.28E-05
93.75,1,2.32E-05
93.75,1.5,4.25E-05
93.75,2,3.80E-05
93.75,3,7.72E-05
93.75,4,8.09E-05
93.75,5,8.46E-05
